32673,bits
128,000000000
226,000000001
10,00000001
13,00000010
107,000000110
72,00000011100
68,000000111010
74,0000001110110
79,0000001110111
148,0000001111
98,000001
117,00001
100,00010
120,00011000
50,000110010
49,000110011
44,0001101
121,000111
101,001
109,01000
118,0100100
78,0100101000
80,0100101001
61,01001010100
122,01001010101
51,0100101011
65,010010110
70,01001011100
83,010010111010
106,010010111011
45,01001011110
67,01001011111
112,010011
97,0101
110,0110
111,0111
103,100000
119,1000010
59,100001100
73,100001101
113,100001110
66,100001111000
47,100001111001
157,100001111010
156,100001111011
77,1000011111
108,10001
115,1001
99,10100
104,10101
105,1011
116,1100
87,11010000000
58,11010000001
53,1101000001000
52,1101000001001
86,110100000101
48,11010000011
41,110100001
40,110100010
84,110100011
46,1101001
102,110101
114,11011
32,111
