204800,bits
85,00000000
84,00000001
87,00000010
86,00000011
81,00000100
80,00000101
83,00000110
82,00000111
93,00001000
92,00001001
95,00001010
94,00001011
89,00001100
88,00001101
91,00001110
90,00001111
69,00010000
68,00010001
71,00010010
70,00010011
65,00010100
64,00010101
67,00010110
66,00010111
77,00011000
76,00011001
79,00011010
78,00011011
73,00011100
72,00011101
75,00011110
74,00011111
117,00100000
116,00100001
119,00100010
118,00100011
113,00100100
112,00100101
115,00100110
114,00100111
125,00101000
124,00101001
127,00101010
126,00101011
121,00101100
120,00101101
123,00101110
122,00101111
101,00110000
100,00110001
103,00110010
102,00110011
97,00110100
96,00110101
99,00110110
98,00110111
109,00111000
108,00111001
111,00111010
110,00111011
105,00111100
104,00111101
107,00111110
106,00111111
21,01000000
20,01000001
23,01000010
22,01000011
17,01000100
16,01000101
19,01000110
18,01000111
29,01001000
28,01001001
31,01001010
30,01001011
25,01001100
24,01001101
27,01001110
26,01001111
5,01010000
4,01010001
7,01010010
6,01010011
1,01010100
0,01010101
3,01010110
2,01010111
13,01011000
12,01011001
15,01011010
14,01011011
9,01011100
8,01011101
11,01011110
10,01011111
53,01100000
52,01100001
55,01100010
54,01100011
49,01100100
48,01100101
51,01100110
50,01100111
61,01101000
60,01101001
63,01101010
62,01101011
57,01101100
56,01101101
59,01101110
58,01101111
37,01110000
36,01110001
39,01110010
38,01110011
33,01110100
32,01110101
35,01110110
34,01110111
45,01111000
44,01111001
47,01111010
46,01111011
41,01111100
40,01111101
43,01111110
42,01111111
213,10000000
212,10000001
215,10000010
214,10000011
209,10000100
208,10000101
211,10000110
210,10000111
221,10001000
220,10001001
223,10001010
222,10001011
217,10001100
216,10001101
219,10001110
218,10001111
197,10010000
196,10010001
199,10010010
198,10010011
193,10010100
192,10010101
195,10010110
194,10010111
205,10011000
204,10011001
207,10011010
206,10011011
201,10011100
200,10011101
203,10011110
202,10011111
245,10100000
244,10100001
247,10100010
246,10100011
241,10100100
240,10100101
243,10100110
242,10100111
253,10101000
252,10101001
255,10101010
254,10101011
249,10101100
248,10101101
251,10101110
250,10101111
229,10110000
228,10110001
231,10110010
230,10110011
225,10110100
224,10110101
227,10110110
226,10110111
237,10111000
236,10111001
239,10111010
238,10111011
233,10111100
232,10111101
235,10111110
234,10111111
149,11000000
148,11000001
151,11000010
150,11000011
145,11000100
144,11000101
147,11000110
146,11000111
157,11001000
156,11001001
159,11001010
158,11001011
153,11001100
152,11001101
155,11001110
154,11001111
133,11010000
132,11010001
135,11010010
134,11010011
129,11010100
128,11010101
131,11010110
130,11010111
141,11011000
140,11011001
143,11011010
142,11011011
137,11011100
136,11011101
139,11011110
138,11011111
181,11100000
180,11100001
183,11100010
182,11100011
177,11100100
176,11100101
179,11100110
178,11100111
189,11101000
188,11101001
191,11101010
190,11101011
185,11101100
184,11101101
187,11101110
186,11101111
165,11110000
164,11110001
167,11110010
166,11110011
161,11110100
160,11110101
163,11110110
162,11110111
173,11111000
172,11111001
175,11111010
174,11111011
169,11111100
168,11111101
171,11111110
170,11111111
